run_accession	sample_accession	sample_title	bioproject	role	arm	tissue	library_type	sex	age_class	subject_biopsy	super_pop	pop	library_layout	read_length	read_count	instrument_model	fastq_ftp	fastq_md5	fastq_bytes
ERR188099	SAMEA1573291	NA12843	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		EUR	CEU	PAIRED	75.0	22098584	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188099/ERR188099_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188099/ERR188099_2.fastq.gz	67c4e7e628214fdfd687bacbdae53bcc;7e0f4acca70ec758ba4901cc0d03e5bd	1594095581;1609401777
ERR188325	SAMEA1573482	NA06984	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		EUR	CEU	PAIRED	75.0	22136382	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188325/ERR188325_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188325/ERR188325_2.fastq.gz	09fc197951e0b99aff4ae056245ac60f;cbffa77f930a6f6e862e8248784e20ef	1622304768;1620506111
ERR188044	SAMEA1573216	NA18498	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		AFR	YRI	PAIRED	76.0	36349964	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188044/ERR188044_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188044/ERR188044_2.fastq.gz	75d29217a2477c91bde22d6e71c61df0;3d2a3ace20342c37436b231d7bfee635	2579821104;2575579256
ERR188225	SAMEA1573250	NA19152	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		AFR	YRI	PAIRED	75.0	27759874	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188225/ERR188225_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188225/ERR188225_2.fastq.gz	b76042731260d004652be0579cd8f693;f4e4d0e02f1c6de1c28b41c995790fa5	1999340210;2004084422
ERR188214	SAMEA1573293	NA18486	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		AFR	YRI	PAIRED	75.0	47079579	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188214/ERR188214_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188214/ERR188214_2.fastq.gz	ff5ab8aa77fc91e394f3dd3121feb975;9bc1148ac0154b4cb9b910489362f0bf	3275680609;3338872612
ERR188039	SAMEA1573377	NA12144	PRJEB3366	primary	low_mt	lcl	polyA	male	adult		EUR	CEU	PAIRED	75.0	31862394	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188039/ERR188039_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188039/ERR188039_2.fastq.gz	90195a9a439dbce1013550013f08d50f;5e17018813ef37e9d8cf565005a930a6	2324452438;2348957771
ERR188311	SAMEA1573271	NA18488	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		AFR	YRI	PAIRED	75.0	18240329	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188311/ERR188311_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188311/ERR188311_2.fastq.gz	86029d5f7a0e4cf94392babc3cbbd573;5e9f7b204022f25794dd7369ba33182a	1273891014;1268150272
ERR188122	SAMEA1573320	NA11894	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		EUR	CEU	PAIRED	76.0	32581294	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188122/ERR188122_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188122/ERR188122_2.fastq.gz	0913c98b1ba28c3b7bbd091677809424;7f259c5f2ba8d12072cfa191411117b8	2249149265;2267577676
ERR188300	SAMEA1573340	HG00319	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		EUR	FIN	PAIRED	75.0	25836509	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188300/ERR188300_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188300/ERR188300_2.fastq.gz	0c19b60e199efbc69358b2b1a178e2c7;4e87445713086a0c85efb36960a766bc	1804175351;1799570755
ERR188375	SAMEA1573192	NA18858	PRJEB3366	primary	low_mt	lcl	polyA	female	adult		AFR	YRI	PAIRED	76.0	29120126	Illumina HiSeq 2000	ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188375/ERR188375_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR188/ERR188375/ERR188375_2.fastq.gz	ae31a448bfc1327307db4bcd210b3577;ebdf651d1502d5d4ae7735f64a26dc59	2129954169;2136860857
