run_accession	chemistry	region	total	chrM	chrM_pct	donor	block
SRR28298487	polya	Mid	71298268	9226346	12.940491064944244	Br2720	Br2720_Mid
SRR28298470	rrna_depleted	Mid	87330898	700470	0.8020872520971901	Br2720	Br2720_Mid
SRR28298457	polya	Post	67795142	9248594	13.641971573715415	Br2720	Br2720_Post
SRR28298409	rrna_depleted	Post	92413736	683468	0.7395740390800778	Br2720	Br2720_Post
SRR28298454	polya	Ant	70910612	9164776	12.924406857467257	Br2743	Br2743_Ant
SRR28298405	rrna_depleted	Ant	83593726	581018	0.6950497696441955	Br2743	Br2743_Ant
SRR28298450	polya	Ant	67211592	10439564	15.532386139581398	Br3942	Br3942_Ant
SRR28298402	rrna_depleted	Ant	82703214	577968	0.6988458755665772	Br3942	Br3942_Ant
SRR28298447	polya	Mid	67552990	11134990	16.48334144795071	Br3942	Br3942_Mid
SRR28298399	rrna_depleted	Mid	88274630	741654	0.8401666481071629	Br3942	Br3942_Mid
SRR28298444	polya	Ant	78295422	7161282	9.14648879470884	Br6423	Br6423_Ant
SRR28298395	rrna_depleted	Ant	87083806	671848	0.7714959082059413	Br6423	Br6423_Ant
SRR28298441	polya	Post	64334896	7271554	11.302659135409188	Br6423	Br6423_Post
SRR28298392	rrna_depleted	Post	75661606	621456	0.8213624225740066	Br6423	Br6423_Post
SRR28298451	polya	Ant	99786238	15415770	15.448793650282717	Br6432	Br6432_Ant
SRR28298467	rrna_depleted	Ant	108783014	900658	0.8279399208409505	Br6432	Br6432_Ant
SRR28298418	polya	Mid	122340510	26998610	22.06841380667777	Br6432	Br6432_Mid
SRR28298464	rrna_depleted	Mid	159454236	1609766	1.0095473412195834	Br6432	Br6432_Mid
SRR28298385	polya	Ant	107009136	12340266	11.531974241900244	Br6471	Br6471_Ant
SRR28298460	rrna_depleted	Ant	102599952	735540	0.716900920187565	Br6471	Br6471_Ant
SRR28298437	polya	Mid	65221218	7648708	11.727330820470112	Br6471	Br6471_Mid
SRR28298389	rrna_depleted	Mid	72065180	452494	0.6278954690739689	Br6471	Br6471_Mid
SRR28298434	polya	Mid	65061378	9069062	13.93924057372409	Br6522	Br6522_Mid
SRR28298386	rrna_depleted	Mid	72143540	537410	0.7449177015710623	Br6522	Br6522_Mid
SRR28298431	polya	Post	66672684	8740192	13.109104772203262	Br6522	Br6522_Post
SRR28298382	rrna_depleted	Post	93756888	774570	0.8261473013054785	Br6522	Br6522_Post
SRR28298427	polya	Ant	71646434	10272674	14.338011575007348	Br8325	Br8325_Ant
SRR28298379	rrna_depleted	Ant	70284484	658328	0.9366619238465207	Br8325	Br8325_Ant
SRR28298424	polya	Mid	71627784	8337732	11.640360115007887	Br8325	Br8325_Mid
SRR28298376	rrna_depleted	Mid	72217408	600996	0.8322037811160433	Br8325	Br8325_Mid
SRR28298422	polya	Mid	65768388	7243860	11.014197276661243	Br8492	Br8492_Mid
SRR28298483	rrna_depleted	Mid	90809334	640572	0.7054032573347582	Br8492	Br8492_Mid
SRR28298419	polya	Post	69461100	7596256	10.935985753176958	Br8492	Br8492_Post
SRR28298480	rrna_depleted	Post	75771348	580044	0.7655189135608357	Br8492	Br8492_Post
SRR28298415	polya	Ant	67652628	10696032	15.810223957597035	Br8667	Br8667_Ant
SRR28298477	rrna_depleted	Ant	77984028	496448	0.636602151404644	Br8667	Br8667_Ant
SRR28298412	polya	Mid	67314320	11455096	17.017324099834923	Br8667	Br8667_Mid
SRR28298473	rrna_depleted	Mid	84205054	667162	0.7923063620385541	Br8667	Br8667_Mid
