rel_threshold	tissue	role	mapq_min	strand	start	end	length	genes	gene_types
0.02	lcl	primary	0	both	1023	1276	254	MT-RNR1	Mt_rRNA
0.02	lcl	primary	0	both	1299	1372	74	MT-RNR1	Mt_rRNA
0.02	lcl	primary	0	both	1430	1507	78	MT-RNR1	Mt_rRNA
0.02	lcl	primary	0	both	3925	4037	113	MT-ND1	protein_coding
0.02	lcl	primary	0	both	4109	4309	201	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.02	lcl	primary	0	both	4322	4452	131	MT-TI,MT-TQ,MT-TM	Mt_tRNA
0.02	lcl	primary	0	both	4457	4861	405	MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.02	lcl	primary	0	both	5045	5136	92	MT-ND2	protein_coding
0.02	lcl	primary	0	both	5167	5255	89	MT-ND2	protein_coding
0.02	lcl	primary	0	both	5584	5817	234	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.02	lcl	primary	0	both	5845	6018	174	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.02	lcl	primary	0	both	6027	6218	192	MT-CO1	protein_coding
0.02	lcl	primary	0	both	6653	6929	277	MT-CO1	protein_coding
0.02	lcl	primary	0	both	6941	7141	201	MT-CO1	protein_coding
0.02	lcl	primary	0	both	7153	7225	73	MT-CO1	protein_coding
0.02	lcl	primary	0	both	7320	7520	201	MT-CO1,MT-TS1,MT-TD	Mt_tRNA,protein_coding
0.02	lcl	primary	0	both	7523	7597	75	MT-TD,MT-CO2	Mt_tRNA,protein_coding
0.02	lcl	primary	0	both	8262	8374	113	MT-CO2,MT-TK,MT-ATP8	Mt_tRNA,protein_coding
0.02	lcl	primary	0	both	8564	8637	74	MT-ATP8,MT-ATP6	protein_coding
0.02	lcl	primary	0	both	8679	9057	379	MT-ATP6	protein_coding
0.02	lcl	primary	0	both	9082	9157	76	MT-ATP6	protein_coding
0.02	lcl	primary	0	both	9173	9226	54	MT-ATP6,MT-CO3	protein_coding
0.02	lcl	primary	0	both	9451	9515	65	MT-CO3	protein_coding
0.02	lcl	primary	0	both	9651	9727	77	MT-CO3	protein_coding
0.02	lcl	primary	255	both	1021	1278	258	MT-RNR1	Mt_rRNA
0.02	lcl	primary	255	both	1298	1373	76	MT-RNR1	Mt_rRNA
0.02	lcl	primary	255	both	1415	1515	101	MT-RNR1	Mt_rRNA
0.02	lcl	primary	255	both	3919	4042	124	MT-ND1	protein_coding
0.02	lcl	primary	255	both	4107	4311	205	MT-ND1,MT-TI	Mt_tRNA,protein_coding
0.02	lcl	primary	255	both	4320	4883	564	MT-TI,MT-TQ,MT-TM,MT-ND2	Mt_tRNA,protein_coding
0.02	lcl	primary	255	both	5042	5141	100	MT-ND2	protein_coding
0.02	lcl	primary	255	both	5150	5316	167	MT-ND2	protein_coding
0.02	lcl	primary	255	both	5581	5820	240	MT-TA,MT-TN,MT-TC	Mt_tRNA
0.02	lcl	primary	255	both	5841	6219	379	MT-TY,MT-CO1	Mt_tRNA,protein_coding
0.02	lcl	primary	255	both	6645	6932	288	MT-CO1	protein_coding
0.02	lcl	primary	255	both	6938	7142	205	MT-CO1	protein_coding
0.02	lcl	primary	255	both	7149	7229	81	MT-CO1	protein_coding
