region	pos	depth_indel_reads	depth_clean_reads	alt_from_indel_reads	alt_from_clean_reads	run_accession	tissue
poly_c_hvs2	303	599	760	0	0	ERR188099	lcl
poly_c_hvs2	304	595	684	0	0	ERR188099	lcl
poly_c_hvs2	305	589	694	0	0	ERR188099	lcl
poly_c_hvs2	306	559	764	0	0	ERR188099	lcl
poly_c_hvs2	307	553	737	0	0	ERR188099	lcl
poly_c_hvs2	308	556	712	0	0	ERR188099	lcl
poly_c_hvs2	309	638	485	7	61	ERR188099	lcl
poly_c_hvs2	310	562	617	13	1	ERR188099	lcl
poly_c_hvs2	311	585	610	2	71	ERR188099	lcl
poly_c_hvs2	312	571	679	0	5	ERR188099	lcl
poly_c_hvs2	313	563	700	0	2	ERR188099	lcl
poly_c_hvs2	314	562	709	0	0	ERR188099	lcl
poly_c_hvs2	315	552	713	0	0	ERR188099	lcl
poly_c_hvs1	16180	6	1431	0	0	ERR188099	lcl
poly_c_hvs1	16181	6	1457	0	2	ERR188099	lcl
poly_c_hvs1	16182	5	1423	0	0	ERR188099	lcl
poly_c_hvs1	16183	6	1292	0	1	ERR188099	lcl
poly_c_hvs1	16184	6	1466	0	2	ERR188099	lcl
poly_c_hvs1	16185	5	1442	0	2	ERR188099	lcl
poly_c_hvs1	16186	5	1448	0	0	ERR188099	lcl
poly_c_hvs1	16187	5	1463	0	1	ERR188099	lcl
poly_c_hvs1	16188	5	1443	0	1	ERR188099	lcl
poly_c_hvs1	16189	5	1352	0	4	ERR188099	lcl
poly_c_hvs1	16190	5	1417	0	1	ERR188099	lcl
poly_c_hvs1	16191	6	1446	0	0	ERR188099	lcl
poly_c_hvs1	16192	6	1433	0	1	ERR188099	lcl
poly_c_hvs1	16193	6	1421	0	0	ERR188099	lcl
poly_c_hvs1	16194	6	1418	0	4	ERR188099	lcl
poly_c_hvs1	16195	6	1402	0	5	ERR188099	lcl
rnr2_control	2000	11	7696	0	4	ERR188099	lcl
rnr2_control	2001	9	7352	0	5	ERR188099	lcl
rnr2_control	2002	9	7377	0	5	ERR188099	lcl
rnr2_control	2003	10	7299	0	4	ERR188099	lcl
rnr2_control	2004	8	7489	0	5	ERR188099	lcl
rnr2_control	2005	8	7321	0	4	ERR188099	lcl
rnr2_control	2006	9	7412	0	4	ERR188099	lcl
rnr2_control	2007	9	7304	0	19	ERR188099	lcl
rnr2_control	2008	9	7202	0	3	ERR188099	lcl
rnr2_control	2009	9	7162	0	1	ERR188099	lcl
rnr2_control	2010	10	6638	0	2	ERR188099	lcl
rnr2_control	2011	10	6663	0	5	ERR188099	lcl
rnr2_control	2012	9	6378	0	4	ERR188099	lcl
rnr2_control	2013	9	6428	0	14	ERR188099	lcl
rnr2_control	2014	9	6383	0	4	ERR188099	lcl
rnr2_control	2015	10	6646	0	7	ERR188099	lcl
co1_control	6000	11	6203	0	0	ERR188099	lcl
co1_control	6001	10	5993	0	1	ERR188099	lcl
co1_control	6002	9	5818	0	0	ERR188099	lcl
co1_control	6003	9	5779	0	0	ERR188099	lcl
co1_control	6004	9	4510	0	1	ERR188099	lcl
co1_control	6005	7	4610	0	0	ERR188099	lcl
co1_control	6006	6	4620	0	0	ERR188099	lcl
co1_control	6007	6	4224	0	1	ERR188099	lcl
co1_control	6008	6	4200	0	2	ERR188099	lcl
co1_control	6009	4	4308	0	2	ERR188099	lcl
co1_control	6010	4	4425	0	4	ERR188099	lcl
co1_control	6011	4	4409	0	2	ERR188099	lcl
co1_control	6012	4	4323	0	0	ERR188099	lcl
co1_control	6013	4	4407	0	1	ERR188099	lcl
co1_control	6014	3	3744	0	2	ERR188099	lcl
co1_control	6015	3	4034	0	4	ERR188099	lcl
poly_c_hvs2	303	581	506	0	4	ERR188325	lcl
poly_c_hvs2	304	573	445	0	0	ERR188325	lcl
poly_c_hvs2	305	570	475	0	0	ERR188325	lcl
poly_c_hvs2	306	561	527	0	0	ERR188325	lcl
poly_c_hvs2	307	552	489	1	0	ERR188325	lcl
poly_c_hvs2	308	553	436	0	0	ERR188325	lcl
poly_c_hvs2	309	578	318	5	56	ERR188325	lcl
poly_c_hvs2	310	360	370	12	210	ERR188325	lcl
poly_c_hvs2	311	548	450	0	1	ERR188325	lcl
poly_c_hvs2	312	547	492	0	0	ERR188325	lcl
poly_c_hvs2	313	540	518	0	0	ERR188325	lcl
poly_c_hvs2	314	540	508	0	0	ERR188325	lcl
poly_c_hvs2	315	532	510	0	0	ERR188325	lcl
poly_c_hvs1	16180	6	2022	0	0	ERR188325	lcl
poly_c_hvs1	16181	6	2041	0	1	ERR188325	lcl
poly_c_hvs1	16182	4	1991	0	3	ERR188325	lcl
poly_c_hvs1	16183	4	1810	0	1	ERR188325	lcl
poly_c_hvs1	16184	6	2030	0	5	ERR188325	lcl
poly_c_hvs1	16185	4	2031	0	2	ERR188325	lcl
poly_c_hvs1	16186	4	2052	0	1	ERR188325	lcl
poly_c_hvs1	16187	4	2063	0	4	ERR188325	lcl
poly_c_hvs1	16188	3	1961	0	1	ERR188325	lcl
poly_c_hvs1	16189	3	1878	0	2	ERR188325	lcl
poly_c_hvs1	16190	4	1936	0	1	ERR188325	lcl
poly_c_hvs1	16191	2	1933	0	2	ERR188325	lcl
poly_c_hvs1	16192	2	1836	0	7	ERR188325	lcl
poly_c_hvs1	16193	3	1952	0	2	ERR188325	lcl
poly_c_hvs1	16194	3	1972	0	0	ERR188325	lcl
poly_c_hvs1	16195	2	1973	0	0	ERR188325	lcl
rnr2_control	2000	14	7568	0	0	ERR188325	lcl
rnr2_control	2001	12	7244	0	3	ERR188325	lcl
rnr2_control	2002	12	7263	0	1	ERR188325	lcl
rnr2_control	2003	13	7194	0	5	ERR188325	lcl
rnr2_control	2004	13	7421	0	2	ERR188325	lcl
rnr2_control	2005	13	7336	0	2	ERR188325	lcl
rnr2_control	2006	12	7283	0	3	ERR188325	lcl
rnr2_control	2007	12	7310	0	12	ERR188325	lcl
rnr2_control	2008	12	7287	0	3	ERR188325	lcl
rnr2_control	2009	10	7360	0	2	ERR188325	lcl
rnr2_control	2010	14	6975	0	4	ERR188325	lcl
rnr2_control	2011	12	7100	0	1	ERR188325	lcl
rnr2_control	2012	13	7066	0	2	ERR188325	lcl
rnr2_control	2013	11	7199	0	4	ERR188325	lcl
rnr2_control	2014	12	7206	0	3	ERR188325	lcl
rnr2_control	2015	12	7536	0	6	ERR188325	lcl
co1_control	6000	8	6279	0	3	ERR188325	lcl
co1_control	6001	8	6079	0	1	ERR188325	lcl
co1_control	6002	8	6024	0	1	ERR188325	lcl
co1_control	6003	8	5951	0	0	ERR188325	lcl
co1_control	6004	7	5595	0	5	ERR188325	lcl
co1_control	6005	6	5754	0	1	ERR188325	lcl
co1_control	6006	6	5817	0	2	ERR188325	lcl
co1_control	6007	6	5739	0	2	ERR188325	lcl
co1_control	6008	6	5977	0	3	ERR188325	lcl
co1_control	6009	4	6008	0	3	ERR188325	lcl
co1_control	6010	4	6082	0	1	ERR188325	lcl
co1_control	6011	4	6152	0	3	ERR188325	lcl
co1_control	6012	3	6138	0	1	ERR188325	lcl
co1_control	6013	4	6312	0	5	ERR188325	lcl
co1_control	6014	4	6056	0	1	ERR188325	lcl
co1_control	6015	3	6255	0	2	ERR188325	lcl
poly_c_hvs2	303	862	432	3	1	ERR188044	lcl
poly_c_hvs2	304	842	391	0	1	ERR188044	lcl
poly_c_hvs2	305	787	474	0	1	ERR188044	lcl
poly_c_hvs2	306	772	491	0	1	ERR188044	lcl
poly_c_hvs2	307	768	487	1	1	ERR188044	lcl
poly_c_hvs2	308	767	465	0	0	ERR188044	lcl
poly_c_hvs2	309	860	260	9	15	ERR188044	lcl
poly_c_hvs2	310	634	373	35	242	ERR188044	lcl
poly_c_hvs2	311	743	524	0	0	ERR188044	lcl
poly_c_hvs2	312	735	539	0	0	ERR188044	lcl
poly_c_hvs2	313	737	550	0	0	ERR188044	lcl
poly_c_hvs2	314	731	560	0	0	ERR188044	lcl
poly_c_hvs2	315	730	546	0	0	ERR188044	lcl
poly_c_hvs1	16180	5	1585	0	0	ERR188044	lcl
poly_c_hvs1	16181	5	1572	0	1	ERR188044	lcl
poly_c_hvs1	16182	5	1524	0	1	ERR188044	lcl
poly_c_hvs1	16183	5	1354	0	0	ERR188044	lcl
poly_c_hvs1	16184	5	1585	0	2	ERR188044	lcl
poly_c_hvs1	16185	5	1482	0	1	ERR188044	lcl
poly_c_hvs1	16186	4	1465	0	0	ERR188044	lcl
poly_c_hvs1	16187	3	1145	0	20	ERR188044	lcl
poly_c_hvs1	16188	3	1383	0	1	ERR188044	lcl
poly_c_hvs1	16189	3	1402	0	15	ERR188044	lcl
poly_c_hvs1	16190	3	1549	0	0	ERR188044	lcl
poly_c_hvs1	16191	3	1609	0	0	ERR188044	lcl
poly_c_hvs1	16192	3	1596	0	1	ERR188044	lcl
poly_c_hvs1	16193	3	1609	0	0	ERR188044	lcl
poly_c_hvs1	16194	2	1601	0	4	ERR188044	lcl
poly_c_hvs1	16195	2	1590	0	1	ERR188044	lcl
rnr2_control	2000	21	7907	0	4	ERR188044	lcl
rnr2_control	2001	19	7141	0	4	ERR188044	lcl
rnr2_control	2002	21	7093	0	7	ERR188044	lcl
rnr2_control	2003	18	7337	0	7	ERR188044	lcl
rnr2_control	2004	18	7508	0	0	ERR188044	lcl
rnr2_control	2005	17	7210	0	1	ERR188044	lcl
rnr2_control	2006	17	7292	0	2	ERR188044	lcl
rnr2_control	2007	16	7282	0	35	ERR188044	lcl
rnr2_control	2008	15	7238	0	6	ERR188044	lcl
rnr2_control	2009	14	7070	0	4	ERR188044	lcl
rnr2_control	2010	12	6642	0	2	ERR188044	lcl
rnr2_control	2011	12	6569	0	3	ERR188044	lcl
rnr2_control	2012	13	6047	0	0	ERR188044	lcl
rnr2_control	2013	12	6120	0	1	ERR188044	lcl
rnr2_control	2014	12	6148	0	0	ERR188044	lcl
rnr2_control	2015	13	6601	0	4	ERR188044	lcl
co1_control	6000	12	6276	0	0	ERR188044	lcl
co1_control	6001	12	6027	0	0	ERR188044	lcl
co1_control	6002	12	5477	0	1	ERR188044	lcl
co1_control	6003	12	5095	0	0	ERR188044	lcl
co1_control	6004	9	5253	0	0	ERR188044	lcl
co1_control	6005	8	3036	0	2	ERR188044	lcl
co1_control	6006	7	2805	0	2	ERR188044	lcl
co1_control	6007	4	2732	0	0	ERR188044	lcl
co1_control	6008	5	2662	0	1	ERR188044	lcl
co1_control	6009	3	2480	0	1	ERR188044	lcl
co1_control	6010	2	2999	0	2	ERR188044	lcl
co1_control	6011	2	3025	0	0	ERR188044	lcl
co1_control	6012	2	3090	0	2	ERR188044	lcl
co1_control	6013	2	3339	0	1	ERR188044	lcl
co1_control	6014	2	2152	0	5	ERR188044	lcl
co1_control	6015	2	3457	0	2	ERR188044	lcl
poly_c_hvs2	303	614	315	0	1	ERR188225	lcl
poly_c_hvs2	304	617	280	0	1	ERR188225	lcl
poly_c_hvs2	305	607	300	0	2	ERR188225	lcl
poly_c_hvs2	306	587	353	0	1	ERR188225	lcl
poly_c_hvs2	307	584	350	0	0	ERR188225	lcl
poly_c_hvs2	308	583	332	0	0	ERR188225	lcl
poly_c_hvs2	309	605	227	1	27	ERR188225	lcl
poly_c_hvs2	310	374	314	16	215	ERR188225	lcl
poly_c_hvs2	311	574	341	0	0	ERR188225	lcl
poly_c_hvs2	312	576	367	0	0	ERR188225	lcl
poly_c_hvs2	313	576	377	0	0	ERR188225	lcl
poly_c_hvs2	314	592	364	0	0	ERR188225	lcl
poly_c_hvs2	315	588	366	0	0	ERR188225	lcl
poly_c_hvs1	16180	15	836	0	1	ERR188225	lcl
poly_c_hvs1	16181	15	852	0	1	ERR188225	lcl
poly_c_hvs1	16182	12	796	0	1	ERR188225	lcl
poly_c_hvs1	16183	10	670	0	3	ERR188225	lcl
poly_c_hvs1	16184	14	863	0	1	ERR188225	lcl
poly_c_hvs1	16185	11	857	0	0	ERR188225	lcl
poly_c_hvs1	16186	11	897	0	0	ERR188225	lcl
poly_c_hvs1	16187	12	911	0	1	ERR188225	lcl
poly_c_hvs1	16188	11	894	0	0	ERR188225	lcl
poly_c_hvs1	16189	12	854	0	3	ERR188225	lcl
poly_c_hvs1	16190	12	889	0	0	ERR188225	lcl
poly_c_hvs1	16191	12	889	0	0	ERR188225	lcl
poly_c_hvs1	16192	12	828	10	7	ERR188225	lcl
poly_c_hvs1	16193	12	906	0	0	ERR188225	lcl
poly_c_hvs1	16194	12	913	0	0	ERR188225	lcl
poly_c_hvs1	16195	12	915	0	0	ERR188225	lcl
rnr2_control	2000	14	7442	0	4	ERR188225	lcl
rnr2_control	2001	13	7076	0	4	ERR188225	lcl
rnr2_control	2002	14	7043	0	4	ERR188225	lcl
rnr2_control	2003	15	6960	0	5	ERR188225	lcl
rnr2_control	2004	14	7250	0	5	ERR188225	lcl
rnr2_control	2005	14	7061	0	0	ERR188225	lcl
rnr2_control	2006	14	7167	0	5	ERR188225	lcl
rnr2_control	2007	14	7119	1	12	ERR188225	lcl
rnr2_control	2008	14	7121	0	6	ERR188225	lcl
rnr2_control	2009	15	7106	0	5	ERR188225	lcl
rnr2_control	2010	12	6697	0	8	ERR188225	lcl
rnr2_control	2011	11	6783	0	4	ERR188225	lcl
rnr2_control	2012	11	6631	0	4	ERR188225	lcl
rnr2_control	2013	11	6665	0	8	ERR188225	lcl
rnr2_control	2014	11	6651	0	2	ERR188225	lcl
rnr2_control	2015	13	6788	0	2	ERR188225	lcl
