tissue	pos	primary	shifted
lcl	1	864.2333333333333	1715.1666666666667
lcl	2	878.4	1718.7
lcl	3	886.1333333333333	1719.6333333333334
lcl	4	962.1333333333333	1790.6
lcl	5	965.9666666666667	1782.1666666666667
lcl	6	991.0666666666667	1806.3
lcl	7	999.9333333333333	1803.2333333333333
lcl	8	1015.7333333333333	1814.3
lcl	9	1023.3666666666667	1682.8333333333333
lcl	10	1025.2333333333333	1681.5
lcl	11	1043.7333333333333	1696.8666666666666
lcl	12	1068.7333333333333	1712.9333333333334
lcl	13	1074.6333333333334	1715.8666666666666
lcl	14	1083.9333333333334	1711.7333333333333
lcl	15	1113.9333333333334	1737.2333333333333
lcl	16	1122.4666666666667	1731.6
lcl	17	1155.9333333333334	1757.5
lcl	18	1175.1666666666667	1763.1333333333334
lcl	19	1214.6666666666667	1798.9
lcl	20	1237.5	1738.4666666666667
lcl	21	1259.6666666666667	1758.3666666666666
lcl	22	1267.0666666666666	1761.3
lcl	23	1289.9	1778.3
lcl	24	1302.1666666666667	1784.6666666666667
lcl	25	1310.1333333333334	1784.2666666666667
lcl	26	1325.4333333333334	1795.1333333333334
lcl	27	1337.3333333333333	1789.2666666666667
lcl	28	1343.1	1730.4333333333334
lcl	29	1389.1333333333334	1774.6666666666667
lcl	30	1391.4333333333334	1746.6
lcl	31	1430.9333333333334	1782.2666666666667
lcl	32	1454.2333333333333	1797.5
lcl	33	1509.4666666666667	1840.7666666666667
lcl	34	1561.7	1850.3
lcl	35	1567.2333333333333	1832.0333333333333
lcl	36	1589.9666666666667	1789.6
lcl	37	1588.0333333333333	1755.1666666666667
lcl	38	1610.3666666666666	1774.2333333333333
lcl	39	1635.4666666666667	1750.4
lcl	40	1664.9	1763.1333333333334
lcl	41	1699.1333333333334	1795.4
lcl	42	1684.0	1769.6666666666667
lcl	43	1654.1333333333334	1737.1666666666667
lcl	44	1600.8666666666666	1663.7333333333333
lcl	45	1557.9666666666667	1601.3
lcl	46	1557.7	1572.7333333333333
lcl	47	1580.8333333333333	1588.8333333333333
lcl	48	1594.8666666666666	1599.7666666666667
lcl	49	1617.6333333333334	1619.1333333333334
lcl	50	1620.7	1618.1
lcl	51	1634.9666666666667	1632.1
lcl	52	1642.8	1640.0
lcl	53	1655.5333333333333	1652.7333333333333
lcl	54	1668.0666666666666	1665.2333333333333
lcl	55	1532.4333333333334	1529.7333333333333
lcl	56	1494.1666666666667	1491.2
lcl	57	1522.9666666666667	1519.9666666666667
lcl	58	1532.9	1529.9666666666667
lcl	59	1533.8666666666666	1531.0333333333333
lcl	60	1524.8	1522.1333333333334
lcl	61	1542.1	1539.6
lcl	62	1566.5666666666666	1564.0
lcl	63	1573.8333333333333	1571.5333333333333
lcl	64	1631.3333333333333	1629.0666666666666
lcl	65	1644.4	1642.1333333333334
lcl	66	1671.9	1669.4
lcl	67	1687.5333333333333	1685.1333333333334
lcl	68	1827.5666666666666	1825.2
lcl	69	1937.1333333333334	1934.8
lcl	70	1958.4666666666667	1956.1666666666667
lcl	71	1965.9333333333334	1963.2
lcl	72	1954.1666666666667	1951.5666666666666
lcl	73	1922.4666666666667	1920.3333333333333
lcl	74	1968.4666666666667	1965.3333333333333
lcl	75	2034.3666666666666	2031.0666666666666
lcl	76	2122.1666666666665	2118.733333333333
lcl	77	2155.866666666667	2152.4
lcl	78	2234.5	2230.766666666667
lcl	79	2216.1666666666665	2212.633333333333
lcl	80	2233.5	2229.5333333333333
lcl	81	2245.866666666667	2241.866666666667
lcl	82	2235.233333333333	2231.133333333333
lcl	83	2237.866666666667	2233.766666666667
lcl	84	2244.366666666667	2240.2
lcl	85	2269.9333333333334	2265.6666666666665
lcl	86	2270.866666666667	2266.6666666666665
lcl	87	2263.4	2259.133333333333
lcl	88	2263.1	2258.6666666666665
lcl	89	2270.1666666666665	2265.633333333333
lcl	90	2295.9	2291.266666666667
lcl	91	2286.5333333333333	2281.7
lcl	92	2286.266666666667	2281.4
lcl	93	2268.9666666666667	2263.9666666666667
lcl	94	2252.133333333333	2247.133333333333
lcl	95	2222.5333333333333	2217.6666666666665
lcl	96	2221.1	2216.233333333333
lcl	97	2221.1666666666665	2216.8
lcl	98	2220.866666666667	2216.1666666666665
lcl	99	2224.6666666666665	2220.0
lcl	100	2233.233333333333	2228.5666666666666
lcl	101	2236.5666666666666	2232.0
lcl	102	2251.5666666666666	2247.0333333333333
lcl	103	2322.633333333333	2317.9
lcl	104	2325.0	2320.266666666667
lcl	105	2313.1666666666665	2308.766666666667
lcl	106	2304.9333333333334	2300.5666666666666
lcl	107	2299.733333333333	2295.5
lcl	108	2280.133333333333	2275.9333333333334
lcl	109	2238.3	2234.3
lcl	110	2239.2	2235.0333333333333
lcl	111	2220.233333333333	2216.1666666666665
lcl	112	2246.766666666667	2242.4333333333334
lcl	113	2266.6666666666665	2262.633333333333
lcl	114	2298.5	2293.7
lcl	115	2339.733333333333	2334.8333333333335
lcl	116	2337.633333333333	2332.6666666666665
lcl	117	2333.4333333333334	2328.5333333333333
lcl	118	2369.8	2364.0666666666666
lcl	119	2368.133333333333	2362.3333333333335
lcl	120	2394.8	2388.766666666667
lcl	121	2424.1	2417.8333333333335
lcl	122	2403.233333333333	2397.233333333333
lcl	123	2377.9666666666667	2372.1
lcl	124	2363.1666666666665	2357.366666666667
lcl	125	2307.1666666666665	2301.4666666666667
lcl	126	2298.5666666666666	2292.7
lcl	127	2305.6	2299.5666666666666
lcl	128	2340.3333333333335	2333.5
lcl	129	2347.266666666667	2340.5666666666666
lcl	130	2360.366666666667	2353.6
lcl	131	2325.7	2319.133333333333
lcl	132	2379.8	2372.5666666666666
lcl	133	2429.733333333333	2421.766666666667
lcl	134	2448.5333333333333	2441.0
lcl	135	2458.2	2451.1666666666665
lcl	136	2463.366666666667	2456.366666666667
lcl	137	2419.8	2412.9
lcl	138	2457.7	2451.0333333333333
lcl	139	2478.4	2470.766666666667
lcl	140	2503.3333333333335	2495.133333333333
lcl	141	2520.3333333333335	2511.3333333333335
lcl	142	2519.6	2510.6
lcl	143	2498.3	2489.2
lcl	144	2372.4666666666667	2363.5666666666666
lcl	145	2380.633333333333	2365.5333333333333
lcl	146	2365.5333333333333	2350.366666666667
lcl	147	2386.1666666666665	2370.5333333333333
lcl	148	2378.133333333333	2362.5666666666666
lcl	149	2371.8333333333335	2356.4333333333334
lcl	150	2302.5666666666666	2287.4
lcl	151	2262.8	2245.4
lcl	152	2162.133333333333	2150.0333333333333
lcl	153	2177.8	2164.9333333333334
lcl	154	2168.866666666667	2155.8
lcl	155	2145.9	2132.9
lcl	156	2169.5333333333333	2156.5333333333333
lcl	157	2172.3333333333335	2160.5333333333333
lcl	158	2170.633333333333	2158.8
lcl	159	2177.1666666666665	2165.3333333333335
lcl	160	2182.9666666666667	2171.3
lcl	161	2197.3333333333335	2185.5333333333333
lcl	162	2255.0666666666666	2243.0666666666666
lcl	163	2246.0333333333333	2233.766666666667
lcl	164	2266.633333333333	2254.2
lcl	165	2233.5333333333333	2221.0333333333333
lcl	166	2284.9333333333334	2272.5666666666666
lcl	167	2317.766666666667	2305.5666666666666
lcl	168	2328.7	2316.4666666666667
lcl	169	2324.5666666666666	2312.5333333333333
lcl	170	2325.233333333333	2313.1666666666665
lcl	171	2376.266666666667	2364.4333333333334
lcl	172	2367.9666666666667	2356.3
lcl	173	2365.7	2353.9333333333334
lcl	174	2365.766666666667	2354.0
lcl	175	2377.9666666666667	2365.9666666666667
lcl	176	2373.9666666666667	2361.5
lcl	177	2358.366666666667	2345.766666666667
lcl	178	2279.9333333333334	2267.5666666666666
lcl	179	2254.4	2242.0
lcl	180	2310.8	2298.3333333333335
lcl	181	2418.4666666666667	2406.4333333333334
lcl	182	2424.5666666666666	2415.0333333333333
lcl	183	2395.9333333333334	2385.6666666666665
lcl	184	2438.2	2427.8
lcl	185	2359.9	2353.4333333333334
lcl	186	2404.6666666666665	2396.633333333333
lcl	187	2436.0	2427.866666666667
lcl	188	2441.3	2432.9333333333334
lcl	189	2468.9	2460.4333333333334
lcl	190	2481.5333333333333	2471.5333333333333
lcl	191	2479.5	2469.5
lcl	192	2487.8333333333335	2477.8333333333335
lcl	193	2490.0	2479.866666666667
lcl	194	2492.9	2481.733333333333
lcl	195	2452.7	2446.266666666667
lcl	196	2530.4	2522.4333333333334
lcl	197	2549.0	2540.766666666667
lcl	198	2568.233333333333	2559.6666666666665
lcl	199	2564.866666666667	2556.5
lcl	200	2567.866666666667	2559.266666666667
lcl	201	2569.3	2561.1
lcl	202	2560.3	2551.633333333333
lcl	203	2529.1	2523.266666666667
lcl	204	2479.733333333333	2474.3333333333335
lcl	205	2486.9333333333334	2477.9666666666667
lcl	206	2477.6	2468.5
lcl	207	2445.0333333333333	2434.5333333333333
lcl	208	2360.766666666667	2349.4666666666667
lcl	209	2329.366666666667	2318.0333333333333
lcl	210	2316.133333333333	2304.766666666667
lcl	211	2337.6	2326.0
lcl	212	2325.5	2313.6666666666665
lcl	213	2314.733333333333	2302.9
lcl	214	2251.1	2238.4666666666667
lcl	215	2286.266666666667	2273.4333333333334
lcl	216	2304.4	2291.5666666666666
lcl	217	2352.3333333333335	2339.3
lcl	218	2454.1666666666665	2440.9
lcl	219	2417.9333333333334	2404.4
lcl	220	2432.8333333333335	2418.733333333333
lcl	221	2479.7	2465.1
lcl	222	2500.0666666666666	2485.233333333333
lcl	223	2507.4	2492.4666666666667
lcl	224	2514.9	2499.866666666667
lcl	225	2521.366666666667	2505.9666666666667
lcl	226	2480.1666666666665	2464.9666666666667
lcl	227	2480.5333333333333	2465.633333333333
lcl	228	2514.266666666667	2499.233333333333
lcl	229	2557.9666666666667	2542.6
lcl	230	2548.8333333333335	2533.3333333333335
lcl	231	2525.9666666666667	2510.8333333333335
lcl	232	2514.7	2499.733333333333
lcl	233	2535.866666666667	2520.766666666667
lcl	234	2537.0	2521.9
lcl	235	2523.2	2508.4333333333334
lcl	236	2509.766666666667	2495.233333333333
lcl	237	2449.633333333333	2435.2
lcl	238	2443.0666666666666	2428.733333333333
lcl	239	2530.4666666666667	2515.0333333333333
lcl	240	2538.1666666666665	2522.366666666667
lcl	241	2505.8	2490.0333333333333
lcl	242	2472.5	2456.6
lcl	243	2448.366666666667	2432.4666666666667
lcl	244	2478.4666666666667	2462.0666666666666
lcl	245	2486.0	2469.4333333333334
lcl	246	2459.766666666667	2443.633333333333
lcl	247	2428.3333333333335	2413.6666666666665
lcl	248	2426.133333333333	2411.0
lcl	249	2424.2	2409.0666666666666
lcl	250	2399.133333333333	2383.4
lcl	251	2418.233333333333	2401.366666666667
lcl	252	2431.4333333333334	2414.5666666666666
lcl	253	2477.633333333333	2460.0333333333333
lcl	254	2534.5666666666666	2516.3333333333335
lcl	255	2531.0666666666666	2512.5333333333333
lcl	256	2386.633333333333	2368.5666666666666
lcl	257	2374.766666666667	2356.9333333333334
lcl	258	2374.366666666667	2355.9333333333334
lcl	259	2341.733333333333	2323.6
lcl	260	2437.8	2389.266666666667
lcl	261	2640.0	2585.9333333333334
lcl	262	2579.0333333333333	2525.8
lcl	263	2347.9	2297.4333333333334
lcl	264	2418.0333333333333	2364.8333333333335
lcl	265	2447.8	2424.5333333333333
lcl	266	2435.5333333333333	2412.4333333333334
lcl	267	2437.266666666667	2414.133333333333
lcl	268	2420.9	2398.0666666666666
lcl	269	2371.1	2348.2
lcl	270	2347.5666666666666	2324.0666666666666
lcl	271	2302.8	2278.6666666666665
lcl	272	2257.4	2232.9666666666667
lcl	273	2267.6666666666665	2243.3
lcl	274	2295.1	2271.366666666667
lcl	275	2317.0666666666666	2293.766666666667
lcl	276	2316.0	2293.866666666667
lcl	277	2309.133333333333	2286.8
lcl	278	2302.7	2282.0
lcl	279	2301.9333333333334	2280.8
lcl	280	2301.366666666667	2281.1
lcl	281	2294.8333333333335	2275.1666666666665
lcl	282	2284.4666666666667	2265.6666666666665
lcl	283	2276.766666666667	2259.9666666666667
lcl	284	2269.9333333333334	2253.733333333333
lcl	285	2257.4333333333334	2242.266666666667
lcl	286	2238.233333333333	2227.1
lcl	287	2237.1	2228.9333333333334
