pos	alt	dep	n_donors	max_donor_frac	epsilon
1	0	15584	30	0.0	0.0
2	0	15802	30	0.0	0.0
3	9	15979	30	0.0029717682020802376	0.0005632392515176168
4	11	17124	30	0.006396588486140725	0.0006423732772716655
5	2	17202	30	0.0016806722689075631	0.0001162655505173817
6	9	17545	30	0.0037313432835820895	0.0005129666571672841
7	21	17639	30	0.006112469437652812	0.001190543681614604
8	5	17977	30	0.0024509803921568627	0.0002781331701618735
9	7	17994	30	0.0024330900243309003	0.00038901856174280313
10	11	17343	30	0.002824858757062147	0.0006342616617655538
11	4	18347	30	0.003289473684210526	0.00021801929470758162
12	6	18913	30	0.004608294930875576	0.0003172421086025485
13	4	19069	30	0.0026455026455026454	0.00020976453930463056
14	8	19214	30	0.003215434083601286	0.00041636306859581555
15	10	19678	30	0.003110419906687403	0.0005081817257851408
16	17	19876	30	0.0031201248049922	0.0008553028778426243
17	11	20467	30	0.002777777777777778	0.0005374505301216592
18	14	20575	30	0.006382978723404255	0.0006804374240583232
19	12	21240	30	0.00528169014084507	0.0005649717514124294
20	9	21569	30	0.0032679738562091504	0.0004172655199592007
21	8	21925	30	0.002288329519450801	0.00036488027366020527
22	3	22066	30	0.002936857562408223	0.00013595576905646697
23	9	22474	30	0.002688172043010753	0.0004004627569636024
24	5	22713	30	0.001358695652173913	0.00022013824681900234
25	5	22839	30	0.0030349013657056147	0.00021892377074302728
26	12	23019	30	0.0026455026455026454	0.0005213084842955819
27	8	23035	30	0.002652519893899204	0.0003472975906229651
28	16	23193	30	0.007772020725388601	0.0006898633208295606
29	5	24031	30	0.0037105751391465678	0.00020806458324663975
30	7	24082	30	0.002398081534772182	0.0002906735320986629
31	11	24750	30	0.004219409282700422	0.00044444444444444447
32	18	24839	30	0.0034482758620689655	0.0007246668545432585
33	20	25478	30	0.004962779156327543	0.000784990972603815
34	11	26136	30	0.002156721782890007	0.00042087542087542086
35	16	25977	30	0.002635046113306983	0.0006159294760749894
36	17	26359	30	0.00461361014994233	0.0006449410068667249
37	43	26242	30	0.0048250904704463205	0.0016385946193125524
38	7	27008	30	0.001937984496124031	0.0002591824644549763
39	19	27402	30	0.005060728744939271	0.0006933800452521714
40	14	28025	30	0.002105263157894737	0.0004995539696699376
41	10	28923	30	0.002380952380952381	0.00034574560038723505
42	29	28676	30	0.005571030640668524	0.0010112986469521551
43	33	28594	30	0.005420054200542005	0.0011540882702664895
44	17	28254	30	0.001937984496124031	0.0006016847172081829
45	34	27782	30	0.004158004158004158	0.0012238139802749981
46	11	28120	30	0.0023014959723820483	0.0003911806543385491
47	15	28641	30	0.0025673940949935813	0.0005237247302817639
48	16	28704	30	0.003592814371257485	0.0005574136008918618
49	16	28864	30	0.005802707930367505	0.0005543237250554324
50	5	29096	30	0.0014347202295552368	0.0001718449271377509
51	5	29495	30	0.0014577259475218659	0.00016952025767079165
52	15	29705	30	0.0019801980198019802	0.000504965494024575
53	20	30041	30	0.0028776978417266188	0.0006657567990413102
54	10	30210	30	0.0024813895781637717	0.00033101621979476995
55	12	27762	30	0.0022026431718061676	0.0004322455154527772
56	9	28878	30	0.002053388090349076	0.00031165593185123624
57	8	29873	30	0.0014792899408284023	0.00026780035483547015
58	4	30067	30	0.00125	0.00013303621911065288
59	16	30202	30	0.004092769440654843	0.0005297662406463148
60	13	29991	30	0.0035650623885918	0.00043346337234503684
61	19	30039	30	0.002936857562408223	0.0006325110689437065
62	13	30388	30	0.0022598870056497176	0.0004278004475450836
63	10	30121	30	0.002785515320334262	0.0003319942896982172
64	11	31396	30	0.0028846153846153848	0.0003503631035800739
65	14	31633	30	0.0037105751391465678	0.0004425757911042266
66	15	32368	30	0.0024600246002460025	0.0004634206623826001
67	17	32496	30	0.0020013342228152103	0.0005231413096996553
68	10	33631	30	0.002331002331002331	0.000297344711724302
69	14	33978	30	0.00315955766192733	0.00041203131437989287
70	22	34279	30	0.003401360544217687	0.0006417923510020712
71	12	33799	30	0.0017050298380221654	0.00035504008994348944
72	23	27550	30	0.002849002849002849	0.0008348457350272232
73	7	4220	4	0.002640845070422535	0.0016587677725118483
74	13	32245	30	0.002512562814070352	0.0004031632811288572
75	13	35066	30	0.0024271844660194173	0.00037072948154907886
76	16	36565	30	0.0022026431718061676	0.00043757691781758513
77	15	36823	30	0.0021929824561403508	0.00040735409934008636
78	34	38521	30	0.003048780487804878	0.0008826354456011007
79	22	38665	30	0.0032085561497326204	0.0005689900426742532
80	23	38516	30	0.0030075187969924814	0.0005971544293280715
