pos	surrogate	n_donors	median_depth	fixed_difference	epsilon
1	0.0	30	477.5	False	0.0
2	0.0	30	483.0	False	0.0
3	0.0	30	485.5	False	0.0005632392515176
4	0.0	30	524.0	False	0.0006423732772716
5	0.0	30	525.0	False	0.0001162655505173
6	0.0	30	535.5	False	0.0005129666571672
7	0.0	30	538.0	False	0.0011905436816146
8	0.0	30	548.0	False	0.0002781331701618
9	0.0	30	548.0	False	0.0003890185617428
10	0.0	30	530.0	False	0.0006342616617655
11	0.0	30	561.0	False	0.0002180192947075
12	0.0	30	575.0	False	0.0003172421086025
13	0.0	30	579.5	False	0.0002097645393046
14	0.0	30	584.0	False	0.0004163630685958
15	0.0	30	599.5	False	0.0005081817257851
16	0.0	30	608.5	False	0.0008553028778426
17	0.0	30	623.5	False	0.0005374505301216
18	0.0	30	626.0	False	0.0006804374240583
19	0.0	30	642.0	False	0.0005649717514124
20	0.0	30	654.0	False	0.0004172655199592
21	0.0	30	659.0	False	0.0003648802736602
22	0.0	30	665.0	False	0.0001359557690564
23	0.0	30	672.5	False	0.0004004627569636
24	0.0	30	682.0	False	0.000220138246819
25	0.0	30	690.5	False	0.000218923770743
26	0.0	30	698.0	False	0.0005213084842955
27	0.0	30	702.0	False	0.0003472975906229
28	0.0	30	704.0	False	0.0006898633208295
29	0.0	30	730.0	False	0.0002080645832466
30	0.0	30	730.5	False	0.0002906735320986
31	0.0	30	744.5	False	0.0004444444444444
32	0.0	30	747.5	False	0.0007246668545432
33	0.0	30	769.5	False	0.0007849909726038
34	0.0	30	789.0	False	0.0004208754208754
35	0.0	30	782.5	False	0.0006159294760749
36	0.0	30	785.0	False	0.0006449410068667
37	0.0014200149008308373	30	784.0	False	0.0016385946193125
38	0.0	30	809.5	False	0.0002591824644549
39	0.0	30	833.5	False	0.0006933800452521
40	0.0	30	843.0	False	0.0004995539696699
41	0.0	30	880.0	False	0.0003457456003872
42	0.0007249792211478036	30	872.5	False	0.0010112986469521
43	0.0009334384573171155	30	877.5	False	0.0011540882702664
44	0.0	30	866.0	False	0.0006016847172081
45	0.0011999752448885012	30	838.0	False	0.0012238139802749
46	0.0	30	844.0	False	0.0003911806543385
47	0.0	30	860.5	False	0.0005237247302817
48	0.0	30	862.5	False	0.0005574136008918
49	0.0	30	869.0	False	0.0005543237250554
50	0.0	30	870.5	False	0.0001718449271377
51	0.0	30	876.5	False	0.0001695202576707
52	0.0	30	883.5	False	0.0005049654940245
53	0.0	30	889.5	False	0.0006657567990413
54	0.0	30	895.5	False	0.0003310162197947
55	0.0	30	836.0	False	0.0004322455154527
56	0.0	30	856.0	False	0.0003116559318512
57	0.0	30	884.5	False	0.0002678003548354
58	0.0	30	883.5	False	0.0001330362191106
59	0.0	30	887.5	False	0.0005297662406463
60	0.0	30	884.0	False	0.000433463372345
61	0.0	30	889.0	False	0.0006325110689437
62	0.0	30	894.5	False	0.000427800447545
63	0.0	30	886.5	False	0.0003319942896982
64	0.0	30	924.0	False	0.00035036310358
65	0.0	30	932.0	False	0.0004425757911042
66	0.0	30	957.0	False	0.0004634206623826
67	0.0	30	961.0	False	0.0005231413096996
68	0.0	30	1006.5	False	0.0002973447117243
69	0.0	30	1008.5	False	0.0004120313143798
70	0.0	30	1020.5	False	0.000641792351002
71	0.0	30	1014.5	False	0.0003550400899434
72	0.0004752851711026616	30	867.5	False	0.0008348457350272
74	0.0	30	1007.5	False	0.0004031632811288
75	0.0	30	1068.0	False	0.000370729481549
76	0.0	30	1105.0	False	0.0004375769178175
77	0.0	30	1121.0	False	0.00040735409934
78	0.0007996686631833822	30	1164.5	False	0.0008826354456011
79	0.0	30	1173.5	False	0.0005689900426742
80	0.0	30	1156.0	False	0.000597154429328
81	0.0	30	1189.5	False	0.0005081042629947
82	0.0	30	1170.5	False	0.0004118934225769
83	0.0	30	1177.5	False	0.0002816036045261
84	0.0	30	1184.0	False	0.0002292935211841
85	0.0	30	1211.0	False	0.0003274064373142
86	0.0	30	1215.0	False	0.0002995880664086
87	0.0	30	1214.5	False	0.0002251350810486
88	0.0	30	1231.0	False	0.0001487615600128
89	0.0	30	1220.5	False	0.0004234649395939
90	0.0001920860545524395	30	1240.5	False	0.0004925744403122
91	0.0	30	1243.0	False	0.0003697222153755
92	0.0	30	1243.0	False	0.0003947498272969
93	0.0005032461546137044	30	1235.5	False	0.0008227374719521
94	0.0	30	1234.0	False	0.0002485274747123
95	0.00043983012557087704	30	1197.0	False	0.0006121824303642
96	0.0	30	1212.5	False	0.0004284274193548
97	0.0	30	1226.0	False	0.0005020458367848
98	0.0	30	1223.5	False	0.0003752720722523
99	0.0004995359054022999	30	1226.5	False	0.0005510745954611
100	0.0	30	1245.5	False	0.0004213239485489
101	0.0	30	1247.5	False	0.0003230375469025
102	0.0	30	1244.0	False	0.0003497376967274
103	0.00046126874436179814	30	1309.0	False	0.0005077123930177
104	0.00019238168526356292	30	1325.5	False	0.0004813477737665
105	0.0	30	1330.0	False	0.0004322455154527
106	0.00023730422401518748	30	1330.5	False	0.0006230977544515
