pos	alt	dep	per_donor_median	n_donors	median_depth	surrogate	fixed_difference	min_detectable_af	chemistry
1	0	5670	0.0	9	630.0	0.0	False	0.002552032470703125	polya
2	0	5670	0.0	9	630.0	0.0	False	0.002552032470703125	polya
3	6	5670	0.0	9	630.0	0.0010582010582010583	False	0.016201019287109375	polya
4	2	6300	0.0	10	630.0	0.00031746031746031746	False	0.012520790100097656	polya
5	3	6300	0.0	10	630.0	0.0004761904761904762	False	0.014370918273925781	polya
6	2	7560	0.0	12	630.0	0.00026455026455026457	False	0.012520790100097656	polya
7	7	8820	0.0	14	630.0	0.0007936507936507937	False	0.016201019287109375	polya
8	6	10080	0.0	16	630.0	0.0005952380952380953	False	0.014370918273925781	polya
9	9	10080	0.0	16	630.0	0.0008928571428571428	False	0.016201019287109375	polya
10	18	10080	0.0015873015873015873	16	630.0	0.0017857142857142857	False	0.01981639862060547	polya
11	8	10080	0.0	16	630.0	0.0007936507936507937	False	0.016201019287109375	polya
12	13	10080	0.0	16	630.0	0.0012896825396825397	False	0.018014907836914062	polya
13	8	10080	0.0	16	630.0	0.0007936507936507937	False	0.016201019287109375	polya
14	8	10080	0.0	16	630.0	0.0007936507936507937	False	0.016201019287109375	polya
15	10	10080	0.0	16	630.0	0.000992063492063492	False	0.016201019287109375	polya
16	8	10080	0.0	16	630.0	0.0007936507936507937	False	0.016201019287109375	polya
17	11	10710	0.0	17	630.0	0.001027077497665733	False	0.016201019287109375	polya
18	7	10710	0.0	17	630.0	0.00065359477124183	False	0.014370918273925781	polya
19	6	11340	0.0	18	630.0	0.0005291005291005291	False	0.014370918273925781	polya
20	17	11970	0.0015873015873015873	19	630.0	0.0014202172096908939	False	0.018014907836914062	polya
21	12	11970	0.0	19	630.0	0.0010025062656641604	False	0.016201019287109375	polya
22	9	11970	0.0	19	630.0	0.0007518796992481203	False	0.016201019287109375	polya
23	30	11970	0.0015873015873015873	19	630.0	0.002506265664160401	False	0.023385047912597656	polya
24	22	11970	0.0015873015873015873	19	630.0	0.0018379281537176273	False	0.01981639862060547	polya
25	21	11970	0.0015873015873015873	19	630.0	0.0017543859649122807	False	0.01981639862060547	polya
26	10	11970	0.0	19	630.0	0.000835421888053467	False	0.016201019287109375	polya
27	6	11970	0.0	19	630.0	0.0005012531328320802	False	0.014370918273925781	polya
28	12	11970	0.0	19	630.0	0.0010025062656641604	False	0.016201019287109375	polya
29	5	11970	0.0	19	630.0	0.0004177109440267335	False	0.012520790100097656	polya
30	24	11970	0.0015873015873015873	19	630.0	0.0020050125313283208	False	0.021605491638183594	polya
31	5	11970	0.0	19	630.0	0.0004177109440267335	False	0.012520790100097656	polya
32	41	11970	0.0031746031746031746	19	630.0	0.003425229741019215	False	0.025156021118164062	polya
33	2	11970	0.0	19	630.0	0.0001670843776106934	False	0.010645866394042969	polya
34	14	11970	0.0	19	630.0	0.0011695906432748538	False	0.018014907836914062	polya
35	11	11970	0.0	19	630.0	0.0009189640768588137	False	0.016201019287109375	polya
36	10	11970	0.0	19	630.0	0.000835421888053467	False	0.016201019287109375	polya
37	13	11970	0.0	19	630.0	0.001086048454469507	False	0.018014907836914062	polya
38	5	11970	0.0	19	630.0	0.0004177109440267335	False	0.012520790100097656	polya
39	4	11970	0.0	19	630.0	0.0003341687552213868	False	0.012520790100097656	polya
40	10	11970	0.0	19	630.0	0.000835421888053467	False	0.016201019287109375	polya
41	8	11970	0.0	19	630.0	0.0006683375104427736	False	0.014370918273925781	polya
42	17	11970	0.0	19	630.0	0.0014202172096908939	False	0.018014907836914062	polya
43	6	11970	0.0	19	630.0	0.0005012531328320802	False	0.014370918273925781	polya
44	15	11970	0.0015873015873015873	19	630.0	0.0012531328320802004	False	0.018014907836914062	polya
45	31	11970	0.0031746031746031746	19	630.0	0.002589807852965748	False	0.023385047912597656	polya
46	27	11970	0.0015873015873015873	19	630.0	0.002255639097744361	False	0.021605491638183594	polya
47	10	11970	0.0	19	630.0	0.000835421888053467	False	0.016201019287109375	polya
48	12	11970	0.0	19	630.0	0.0010025062656641604	False	0.016201019287109375	polya
49	38	11970	0.0015873015873015873	19	630.0	0.0031746031746031746	False	0.025156021118164062	polya
50	59	11970	0.0031746031746031746	19	630.0	0.0049289891395154556	False	0.030426025390625	polya
51	46	11970	0.0031746031746031746	19	630.0	0.0038429406850459483	False	0.02691936492919922	polya
52	28	11970	0.0015873015873015873	19	630.0	0.0023391812865497076	False	0.021605491638183594	polya
53	14	11970	0.0	19	630.0	0.0011695906432748538	False	0.018014907836914062	polya
54	10	11970	0.0	19	630.0	0.000835421888053467	False	0.016201019287109375	polya
55	14	11970	0.0	19	630.0	0.0011695906432748538	False	0.018014907836914062	polya
56	16	11970	0.0	19	630.0	0.0013366750208855473	False	0.018014907836914062	polya
57	22	11970	0.0015873015873015873	19	630.0	0.0018379281537176273	False	0.01981639862060547	polya
58	15	11970	0.0	19	630.0	0.0012531328320802004	False	0.018014907836914062	polya
59	6	11970	0.0	19	630.0	0.0005012531328320802	False	0.014370918273925781	polya
60	13	11970	0.0	19	630.0	0.001086048454469507	False	0.018014907836914062	polya
61	19	11970	0.0015873015873015873	19	630.0	0.0015873015873015873	False	0.01981639862060547	polya
62	7	11970	0.0	19	630.0	0.0005847953216374269	False	0.014370918273925781	polya
63	8	11970	0.0	19	630.0	0.0006683375104427736	False	0.014370918273925781	polya
64	87	11970	0.004761904761904762	19	630.0	0.007268170426065163	False	0.03564643859863281	polya
65	11	11970	0.0	19	630.0	0.0009189640768588137	False	0.016201019287109375	polya
66	12	11970	0.0	19	630.0	0.0010025062656641604	False	0.016201019287109375	polya
67	8	11970	0.0	19	630.0	0.0006683375104427736	False	0.014370918273925781	polya
68	9	11970	0.0	19	630.0	0.0007518796992481203	False	0.016201019287109375	polya
69	4	11970	0.0	19	630.0	0.0003341687552213868	False	0.012520790100097656	polya
70	4	11970	0.0	19	630.0	0.0003341687552213868	False	0.012520790100097656	polya
71	7	11970	0.0	19	630.0	0.0005847953216374269	False	0.014370918273925781	polya
72	1829	11970	0.0031746031746031746	19	630.0	0.15279866332497913	False	0.24218273162841797	polya
74	11	11970	0.0	19	630.0	0.0009189640768588137	False	0.016201019287109375	polya
75	15	11970	0.0	19	630.0	0.0012531328320802004	False	0.018014907836914062	polya
76	14	11970	0.0	19	630.0	0.0011695906432748538	False	0.018014907836914062	polya
77	22	11970	0.0015873015873015873	19	630.0	0.0018379281537176273	False	0.01981639862060547	polya
78	8	11970	0.0	19	630.0	0.0006683375104427736	False	0.014370918273925781	polya
79	9	11970	0.0	19	630.0	0.0007518796992481203	False	0.016201019287109375	polya
80	10	11970	0.0	19	630.0	0.000835421888053467	False	0.016201019287109375	polya
81	4	11970	0.0	19	630.0	0.0003341687552213868	False	0.012520790100097656	polya
82	12	11970	0.0	19	630.0	0.0010025062656641604	False	0.016201019287109375	polya
83	14	11970	0.0	19	630.0	0.0011695906432748538	False	0.018014907836914062	polya
84	7	11970	0.0	19	630.0	0.0005847953216374269	False	0.014370918273925781	polya
85	8	11970	0.0	19	630.0	0.0006683375104427736	False	0.014370918273925781	polya
86	9	11970	0.0	19	630.0	0.0007518796992481203	False	0.016201019287109375	polya
87	11	11970	0.0	19	630.0	0.0009189640768588137	False	0.016201019287109375	polya
